Text,Classification
i feel mad sad and discouraged there is something so marvelous about the lord jesus something about the holy word of god that ignites my soul with hope to once again keep moving forward,anger
i wasnt going to post anything about his death because i made me feel mad and shitty,anger
i party wah wah wah nationalism blah yay aryans wah boo jews with there stupid brown hair blah blah should feel appreciative that we even talk to them because it makes them cool by association blah blah,joy
i hate this and i hate feeling so shitty all the time,sadness
i want to seduce you into buying it without you feeling liked youve been conned or connived into it,love
i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,joy
i feel moderately handsome at the minute but as soon as i go out ill look like a twat,joy
i had no idea i was giving off this vibe but i feel like this is a pretty dangerous vibe to be giving off all willy nilly,anger
i just saw a post on one girls facebook page that said something to this effect im feelin horny,love
i swamp uncaring unfeeling messed up apathetic humanbeings who wont pull their heads out of their asses long enough to turn around and look at me and say i see you,anger
im feeling so pissed off now,anger
i feel so often when i roll through my beloved new york that so little is done for so many if i start to write about race colour religion and sexual preference and gender identity my readers will say hey mia what s up are you confused,love
i could quote you a recent poll showing of young american muslim men feel suicide bombings are acceptable in defense of islam so apparently things like dont kill are not universally shared moral values,joy
i normally would call meaningless and stupid but i guess im feeling a little bit adventurous,joy
i just do it to keep up with ian but really i feel shitty about it and wish i could just date ian,sadness
ive realized over the last few months that i generally tend to feel tremendously dissatisfied after having sex with him,anger
i feel rather pissed off,anger
i feel so carefree i never think of the crap going on in my life,joy
i feel like an ass saying that since my sweet sister has gone through quite possibly the worst year of her life at the same time,joy
i feel stupid about my diamond richie mix up,sadness
i love taylor swift because she has so many inspiring song and her song always represent what i feel and she is so damn gorgeous and she is very nice to her fans,joy
i grabbed him by the collar and pulled him against me in a passionate tonguey kiss feeling his long member slide between my waiting ass cheeks as it pulsed on the frantic bud of my clit,fear
i either feel like crap about myself all day and try to make up for it the rest of the day and am exhausted,sadness
ive had my ass handed to me by murt and im starting to feel messed but just a little,anger
i realized i was a total idiot and forgot clarinet choir making me feel even more idiotic and stupid then i already was,sadness
i were i probably wouldn t be saddled with all this guilt and feeling like i should be doing these things instead of pissing about doing highly unimportant things,sadness
i think this feeling is fro trusting in god and sometimes its just apathy,joy
i woke up today feeling pissed off,anger
i was dwelling on the current state of my life i was unsure about my place in life and what i was going to do with it and i was feeling a bit bitter at god because of it,anger
i feel it is unfortunate that in the end my year old will hate her father unless he ceases to use his daughter as a pawn to impress these women while she s still young enough to not realize what is really going on,sadness
i only ever wanted to make him happy and he made me feel so stupid,sadness
i also feel like i have been keeping myself intentionally stupid behind slow in the past ive known that keeping up with gaga would require getting up to light speed which transforms you into an artist and im ready to do that now an hold nothing back,sadness
i feel the skeptical looks and eye rolls when we say we need a bigger house after all we re dinks double income no kids which is prettymuch the most awesome acronym ever,fear
i did not feel in my soul that god has always been faithful to me,love
i feel it would be pleasant to have a cigarette there is a sort of deep rooted memory of enjoying sucking that carcenogenic smoke into my lungs but i believe that feeling of pleasantness is an illusion,joy
i do something and i feel completely stupid when someone points out the very obvious solution,sadness
i feel for him but the thing is he is so popular and entrenched in this gerrymandered district that he would totally be reelected as an out gay man,joy
i am feeling stupid and stuck and i know that the best way to get it to end is just to get it to end,sadness
i just feel so defeated that once again im the weirdo that cant adjust to motherhood,sadness
i listen to dubstep when im feeling damn irritated,anger
i am able to share my ideas without feeling stupid because they already know how dumb i can be,sadness
i know that i will find a job and god has a plan but im feeling a little uncertain about everything at the moment,fear
ive been feeling a little stupid because i dont know how,sadness
i feel like i do understand my divine nature as a daughter of god but clearly i dont,joy
i began to feel if i keep on supporting this system i became a part of the blood sucking everything for profit machinery,joy
i feel inside cause life is like a game sometimes but then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,sadness
i code existed for the sole purpose of making stupid people feel smart,joy
i still feel a little bit funny when i discover his fb damn it,surprise
i also feel it is worth mentioning that makin it rain may be acceptable at a strip club but not at your local cineplex,joy
im just feeling really shitty about life in general now that i want to just write continuously,sadness
i feel so horrendously ugly these days,sadness
i told him that what he did was very stupid or talked down yelled at him he would feel very unloved,sadness
im feeling bitter towards them god,anger
i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b,anger
i havent gone a week without exaggerated eyelids since year at school i feel pretty messing shitty,sadness
i feel like i shouldnt bother people with these petty stupid little pathetic thoughts i feel like no one really would care to know what really goes on inside my head,anger
i feel like i should say something emotional and touching about the fleeting nature of time but damn im feeling like ive been flung into a first day of school suddenly huge to do list tornado,sadness
i feel shitty about myself or my work on the heels of feeling great for someone else s accomplishments,sadness
i cant hate too much because i feel like shes looking pretty damn flawless in these pics,joy
i know its not my fault but after failing to keep three babies alive in my womb how else should i feel two friends came by with a sweet gift and a sandwich for todd,love
i will focus on either an infantry company or if im feeling either brave or stupid enough a motorbike company for the rest of the challenge but ill leave it until the time and see how i feel then,joy
i feel so passionate about it and know this is where god wants me to be but i am human and i do have flaws and short comings,love
i used to feel as if i would be hated and whatever so i kept quiet about god,anger
i am very new to blogging and i feel a little stupid writing this however if it will help me overcome my stress i will give it a go,sadness
i look at him and say nicely and friendly well im sorry you feel that way i do apologize to you this angered him more and he stormed out saying i dont need this shit not a good night overall but im off till friday thankfully,anger
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger
ive been feeling really shitty lately,sadness
ive never been the mother of a teenage girl before but i sure as hell have been one and this little episode would have left me at feeling ugly and crappy and humiliated,sadness
i really hate this feeling when you really give so much damn about someone but really all that person show you is just simply like they cant be bothered with you,anger
i could try to reach my tongue out to lick it but in vain so close i could feel the divine warmth from her pussy but in vain,joy
i know karen wouldnt see it that way if i addressed these things with her it would open a whole miserable can of worms she wouldnt see that shes doing anything wrong and wouldnt be open to hearing how i feel it would turn into an ugly confrontation and i hate confrontation,sadness
i dont think my depression that i have been feeling is going to go away over night but i do think that if i start trusting god more and praying more he will help me to see that i am not alone,joy
i doubt anyone is if they are entirely honest with themselves and thats ok because for now i may not feel perfect but i do feel happy and thats one hell of an improvement,joy
i feel that president obama is really trying to make america suck less but i really dont know enough about politics and government to say he is actually doing things thatll be productive,joy
when a boy tried to fool me so he would be ok trying to show me that he is a gook boy,anger
i hate feeling stupid and incompetent,sadness
i feel quite disappointed in myself for being sucked into the charade,sadness
i knew i wanted frosting to decorate the cookies and write a message but was thinking of the cream type frosting which uses butter or shortening and feeling a little hesitant about adding all that fat trans fat no less,fear
i know what god has said about stuff and yet right now i am beginning to feel anxious about it,fear
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,fear
i still feel very emo but its now a bouncy butterflies in my tummy everythings gonna be ok kinda email rather than a feeling shitty emo so,joy
i climbed over that day and awful hump and i feel fabulous,joy
i feel the need to pimp this since raini my beloved rocky casting director loves it so much,love
i need some to hold me to hug me like they love me really love me to be there in quiet to just sit to be there just to stop me doing something stupid it cant be my parents cos i know id just run i cant run from other people i feel rude,anger
i always feel horny nowadays,love
i feel ugly to my fellow humans,sadness
i feel like i m not really sure where everything is leading and i d look like a boob if i misrepresent things,joy
i feel like an ungrateful ingrate bastard to confess that i momentarily lost my appreciation for the life i have,sadness
i never cease to feel amused when with a single facial expression i have the power of modifying a students behavior,joy
i feel more shitty and emotional and helpless,sadness
im feeling stupid,sadness
i am responsible and would feel terribly dismayed at my lack of caring towards my job but lately i really have been irresponsible in regards to my shit job and i dont even feel like im letting anyone down,sadness
i am feeling amazed to see what god is doing new friends who aren t only amazing but get me who don t run and hide in a dark room unless i am there and they are joining me,surprise
i don t know if im just speaking for myself but i feel like we are all becoming more stupid by the day,sadness
i understand how unbearable it is to feel like worthless shit all of the time,sadness
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,surprise
i wrong or ridiculous to feel pissed,anger
i have to admit i was feeling pretty horny nicole,love
i legitimately feel less intelligent at the end of the day because of how worthless and stupid it all is like how you feel after sitting through a michael bay movie,joy
i feel stupid or overly awkward or less than them,sadness
ive been at the lowest ive ever been feeling really shitty about myself,sadness
i still have a lot of my normal symptoms sore boobs constant peeing irritability and irrational feelings a superior sniffer and gag reflex etc,joy
i used to go to rock festivals in high school to feel accepted and to feel like i belonged within a part of a movement that none of my classmates could relate to because they were too busy listening to their auto tuned bullshit,joy
i could feel myself being pulled in as if some evil vampire wanted to suck me into the pits of hell,love
i am healthier when i don t feel horny often i m not as sexually frustrated,love
i generally don t eat a lot of junk it is mostly stress eating but as i become more comfortable with the child care i am feeling less stressed and eating less junk,anger
i suddenly feel like some kind of innocent virgin,joy
i am still working on how to get past feeling deprived by saying no to foods that are fat sugar filled,sadness
i wish i had a pasta dish that combined the beet and rabiola fresca ravioli and the naked pasta i feel like these two dishes encompass the yin and yang or in this case the sweet and savory sides of the perfect summer pastas,joy
i mean when i say i used to feel like an ugly brown pair of shoes ask him to change your mind,sadness
i feel like crap for being ungrateful,sadness
i ask myself why does the hip hop generation of african americans feel the word nigga is ok,joy
i do love life and i do love to laugh and i enjoy the funny side of things because honestly if i dont look at the funny side of things i would spend the majority of my life feeling pissed off over the stupid things that people do,anger
i feel stupid the pointlessness of the cu,sadness
i get what shes saying but on another i feel pissed that she has to have a thick skin to put up with the crap women heap on each other,anger
i feel like god pooped on me laughed amp then walked away throwing a casual yeah,joy
i ended up feelin shitty in mind,sadness
i am starting to feel the strain of not having enough time i did however make up some lost time with a vengeance yesterday and today and got s of the giant granny panties quilted,sadness
i was bursting to feel the inside of this delicious woman s cunt,joy
im stupid and make me feel like im worthless,sadness
i was feeling resentful and daydreaming about the various places i could tell him to shove those big girl panties,anger
i am feeling very pissed now,anger
i help a lot of people at a later time when i m feeling pissed off with things i might look back at my life and say hey i m not that bad a person,anger
i feel stupid and thoughtless,sadness
i do not feel as ugly,sadness
i soon went back to feeling shitty again,sadness
i feel so regretful about getting such high hopes on myself coz i thought i got the damn job and then spurging on things that i dont need when i can use those money to get something decent for both of us,sadness
i leave feeling defeated hopeless and too weak to keep pressing into god and recovery,sadness
i feel less bothered my get the rape stick out of your ass because i think a statement like that says a lot more about the speaker than the target,anger
i prove myself wrong here i am feeling ugly because i made no attempt to get out of my sleeping clothes oh and my eyebrows,sadness
i feel terrible for him but omg,sadness
i feel like there needs to be a disclaimer that i am in no way romanticising the shitty aspects of this pairing okay it is messed up beyond belief summary castiel holds the world in the palm of his hand,sadness
i feel ugly i mean i m being calle,sadness
i started this blog is because i was desperately lonely and i wanted someone to know how i was feeling all of the ugly thoughts and emotions,sadness
i love more than anyone made me feel like i hated them sooo much but i knew i didnt which really hurt i ened up being a dick and crying for like an hour in front of people which was even more stupid,sadness
i see that through waiting it out on some of these desires and wrestling through the questions and feelings of purpose i see that god has been faithful and has now made a way for it to happen,joy
ive lived too long feeling shitty being picked on and feeling like the odd one out,sadness
i worked very hard on holding my technique when i was tired and i feel sure that it is improving,joy
i feel like i missed my calling id be a damn good special ed teacher,sadness
i feel proud to be queer performing at lovebox,joy
im feeling discontent with my sex life i feel like crying like venting about it,sadness
i didnt feel if i was having a shitty day i wouldnt usually come right out and say i was having a shitty day,sadness
i was to do the same to them i would have this guilty conscience and i would feel like a heartless bitch,anger
i was so scared it wasnt even funny it just made me feel more pathetic and stupid,sadness
i feel i begin to compare myself to others what an ugly and painful thing to do,sadness
i was left feeling embarrassed stupid but i was on a mission to fuel up with coffee is this an excuse,sadness
i feel a bit stupid for writing that but it s true,sadness
i feel petty for thinking like i have i feel stupid that i let things get to me so easily,anger
i buy books about people i feel are equally messed up as i am or books about zen approaches to shitty situations,anger
i step back in the game day after day even when the odds of success seem out of favor i love on and when i feel nothing but ugly inside she is there to remind me of who i really am and nothing could be prettier than that,sadness
i feel awful but i just don t know how to get a child to write letters draw certain things or make up words with the paper letters i had to back onto card laminate and cut without totally losing my shit,sadness
i do not want her to feel ugly,sadness
i just had a baby i feel crappy about myself and my husband doesn t seem to want to have sex with me as often,sadness
im feeling a bit listless but after the weekend from hell it had good points also im glad for some time to wind down,sadness
i feel really lucky for everything i have this year a job a roof over my head heat and the ability to give my kids a fun christmas and if i have a little left over i want to pass if forward as the saying goes there but for the grace of god i go,joy
i feel shitty these few days because of work,sadness
i feel ugly to stop being lazy so i dont embarrass my friends to wear white so i could have short hair without feeling fat not that i really want short hair but still to be able to kiss someone without feeling like i have to pull away,sadness
i feel the presence of god something fearful happens i became aware of my own unworthiness my own short comings and yes my own sin,fear
i feel sorry for those that can t eat mangoes amp grateful i can,sadness
i was feeling rather horny though img src http s,love
i feel im ugly i feel that i dont deserve to exist in this world,sadness
i was made to feel like a pathetic piece of shit because i suffer from a mental illness multiple actually,sadness
i know how you feel lovely post xx xelliealicex,love
i have been staying in the word and memorizing scripture and through this i feel that god is showing me just how ugly my heart is,sadness
i guess just like a porn star looking at a inch rubber dong i m feeling a bit hesitant about the whole thing,fear
i feel subaru stops being that innocent being we were presented to in the beginning and begins to turn into the depressed young man of x who also kicks ass,joy
i dint feel any strong pain yet just cramping which comes and go like what i used to have during menses,joy
i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake,anger
i feel like crap that she s supporting me now that i m living with him instead of with my mom,joy
i even got mad at god a little because i feel like im being punished,sadness
i feel so ugly lately,sadness
i woke up feeling listless and dehydrated from a weekend that included a strip club tackle football hours of binge drinking and a hockey game so i decided not to go to work,sadness
i left feeling annoyed and angry thinking that i was the center of some stupid joke,anger
i guess we all feel ugly in some sort of way,sadness
i know that i shouldn t let people decide my happiness but damn it feels like i either have to risk my happiness to please other people that s how much i hate this school this school is messing pathetic and doesn t deserve my time and money,sadness
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,fear
i feel like an ass when i have to ask someone what their delicious looking dessert is made of,joy
i mustered up energy to feel christmassy i remember feeling kind of pissed off at the bad timing of everything,anger
i feel a bit insulted by that as i am nothing like other women i bloody hate them and their incessant bitching in general over bloody nothing most of the time,anger
im not really a fan of seafood and all that so i feel quite sorry when people kill live clams and prawns and shark fins,sadness
i feel a bit naughty too for making it all public but then i remembered when i was made to feel like shit and had my confidence stripped,love
i try to speak up stand up for myself or simply try to insert myself into a conversation i feel selfish like an attention whore,anger
i am not actively seeking gods heart i feel lethargic directionless and slow when it comes to who i see god as and even more so how i think god sees me,sadness
i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of,anger
i also feel strange that by the ripe old age of twenty three i want a goddamn life partner,fear
i am feeling anxious that im not out watching this important game that im avoiding a bar because of an asshole who broke my heart and that im missing out meeting cute boys,fear
im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,fear
im feeling ugly,sadness
i sooooo understand feeling like an ugly brown pair of shoes in a world of designer tuxedos complete with diamond cufflinks,sadness
i allowed myself to feel the really shitty feelings while i was running because a the endorphins were flowing so it hurt less and b so i could pretend i was running away from them,sadness
i will look better and better to him in time and he will feel stupid,sadness
i feel you i dont believ in you but i keep my faithful to you god gives me a chance to feel what is apathetic after it but much apathetic open up my mind that i can hide this feeling for you i know youre playing with me you show off your love like and maybe after it youll be gone will it happens,joy
i wasnt feeling that playful or that drunk,joy
i feel almost outraged that such a crap day should fall on my most favourite of days,anger
i feel like he is snobbish snooty gauche a drunk and offensive,anger
i continue to cruise along the expressway feeling shitty,sadness
ive done all my usual workouts and so i feel confident that i worked hard on that front,joy
i always feel horny when im done but its definitely a large flaccid and my penis is sleepy and hangs low,love
i made this i felt some relief from the fear and anxiety but i started feeling pissed again with a whole new set of memories,anger
i feel as though im the most hated kid in school the biggest bitch and other times i just feel popular and loved by everyone,sadness
i feel completely stupid for not knowing any of this,sadness
im still feeling really shitty and undeserving of their love,sadness
i am left feeling like the greedy bastard and i hate it,anger
i feel incredibly vain and stupid admitting to that,sadness
i feel really damn terrified and rushed to my classroom where my friends are playing and joking around,fear
im not crossing things off ever growing to do list i feel like i keep making stupid silly mistakes in all areas of my life amp im just tired,sadness
i feel that supporting or at least not condemning the seal hunt is akin to saying well think of all the good things hitler did,love
i guess how this clouds your viewing depends on how you feel about filmic content personally i dont really give a shit what a film is saying so much as the way its being said and in this case the film is simply too great to ignore but its a sour note in an otherwise delicious orgy of depravity,joy
i am feeling abused for having wasted hundreds of dollars a year in subsidization for this crap and though im not sure whether or not im mad as hell im surely not going to be taking it anymore,sadness
i admit is inexcusable giving you to feel slightly naughty bestial heck macho even,love
im more attracted to him because i feel that he knows that hes weird and being a weirdo myself i figure things might work out,surprise
i feel like itd be strange at the least and possibly offensive to tell a gay friend id like to experiment or something like that,surprise
i feel so blessed that god has chosen me to help guide them,love
i have a desk job and sit on my ass all day long so sometimes i feel paranoid that i m not being active enough and think things like dear god what if i get so fat that i can never lose the baby weight,fear
i feel about this totally and completely pissed angry sad disappointed and absolutely furious at tough mudder the biggest rip off on planet earth,anger
i strongly dislike feeling stupid which is a feeling that comes up for me at least once per day and often more frequently than that,sadness
i feel pissed my friend didnt offer me a soda,anger
i feel so horny in these thigh high nylons,love
i cannot see and help me to feel more confident that my god is exactly who he says he is and that i can trust him,joy
i feel ugly today,sadness
i homophobic men repressed homosexual feelings paranoia projection a tragic story how dangerous sexual repression is,sadness
i feel let alone give a shit,sadness
i feel so blessed that god has given me the wisdom to train them in how to help and be a part of our household,love
i look upon one of the main reasons wherefore guys feel that they have to one or the other be rich or have some crazy ableness or be a jerk to breed women is because that is which we see whenever we look forward television or on any other indulgent of media,joy
i feel like im a shitty friend,sadness
i started to answer no i just was feeling kinda horny sis,love
i always put up a strong front care for others looking into peoples welfare before my own but in the end i feel really shitty,sadness
i dont and i feel so god damn selfish for continuing to hurt myself all the time,anger
i did feel reluctant to keep on going and drew focalors sigil with a black opium incense stick on a wall by grabbing the wooden part and pulling the incense part back slightly and allowing it to smack to wall leaving a black powder line and meditated,fear
i feel hated helping prevent gay,sadness
i got a feeling like something tragic is going to happen and im praying to god im not like kristie and that im completely wrong on this one and that everything is fine,sadness
i just feel really pissed off actually and stressed,anger
i don t want to go home to toronto and feel like a nobody tortured artist loser for two weeks and smoke pot alone in my bedroom and watch degrassi junior high and then weep,fear
i hate feeling pressured into having to carry on conversations because if i didnt it would just end up with the two of us breathing at each other until our receivers got all steamy,fear
i feel like strangling horny bastards schools people for banging our boats and not even syaing sorry,love
i feel while im running im sure i look like im having a stroke or something,joy
i feel stupid using this name,sadness
i think its the feeling stupid part because i couldnt tell you were lying,sadness
i can tell pms is at work because i feel so weepy,sadness
im older and i adopt children if they are born gay which i do believe is a born thing feel free to discuss i shall respect that just like i will accept if they are born left handed or ginger,joy
i say his name over and over and feel the change in him the nearly violent desire he reigns in with difficulty as the first waves of orgasmic stupor envelops me,anger
im gonna list my favorite work out stuff because once i say stuff on my blog i feel shitty backing out on it,sadness
i had a feeling he was too horny at that moment,love
i feel those artistic yearnings in my music and i know that if i was to provide for a family and couldnt do so with the gift god has given me it would be very very hard,joy
i get these intrusive thoughts mostly violent ones or sometimes sexual the sexual ones make me feel really agitated not pleasant at all whereas the violent ones don t tend to bother me,fear
i havent cried in the last day or two but instead i feel positively convinced that god has a plan and purpose for me and all that i do,joy
i had been feeling conflicted and disheartened by my choice to get a new job even though i know this is what god has for me right now,sadness
i began to feel distressed and a feeling of sadness and a desire to kill myself,fear
i feel all people of reason have a duty to awaken these sincere mislead people to educate them to the fact that god gave us reason and ancient ignorant men gave us revealed religions,joy
having unwanted attention paid to me in my place of work harrassment and sexual harrassment by another worker disgusted by his implications,anger
i feel resentful toward my wife when weeks go by without sex,anger
ive come to realize i need to stop runnin away from my fears gotta stop bein so confined and wanting to hide feeling the need to die and instead stic through this vicious hell like ride,anger
i feel so horny and naughty dressed up like this and my tgirl cock is getting a real work out as i continue to admire myself,love
i think the main benefit here is that it wets the surface giving even the earliest strokes something to play against and it also helps get my ass into the deep end of the pool if i am feeling hesitant about where to begin,fear
i feel cute and sexy all at once and its not so sheer i feel naked,joy
i feel so remorseful for that day all those shits i said to you,sadness
i feel so shitty about wearing you out,sadness
i was feeling really shitty invaded disrespected and i was not even one of the actors victims,sadness
ive found that when i make a simple mistake or i really screw up i feel foolish guilty and like i will never be myself again,sadness
i got up feeling horny this morning,love
i should feel pissed,anger
im supposed to be excited about my tattoo today but instead all im feeling is pissed off,anger
im sure shes done some writing tonight and is past that amount now but for the moment i can go to bed feeling triumphant and also happy in the knowledge that i havent given in to writing absolute and utter crap just yet and that my story is progressing nicely,joy
i feel like a worthless ugly fat unattractive piece of shit,sadness
i sometimes feel shitty and guilty for buying into them without actively making any choices i am about as normative you can get in terms of the fashion blogosphere,sadness
i dont think he touched my penis but i just remember feeling very helpless and that trust was violated,sadness
i get what williams is doing in imping other artists but i still feel that its more of a distraction than it is clever and the murder mystery plot is a decent hook but turns out to be wholly unsurprising,joy
i find myself more and more lately feeling like i m a shitty wife and mom,sadness
i actually answered you pathetic messing e mails but no thats too messing easy just call andintrupte what was a wonderful messing day with you trad trash what the mess slave he felt the feeling come over him he bagan to shiver and shaken with fear,fear
i feel damn lame hahahahahha,sadness
ive been honestly self indulgent and rather reckless with my consumption of caffeine cigarettes and junk food which combined with the dangerous ingredient of freezing weather has caused me to feel lethargic fat and unfit,sadness
i see my thin friend struggling to gain weight and eating a lot of rubbish food everyday i see my fat friend being laughed at i see him feeling ashamed of the way he looks,sadness
i let my fingers stroke across his chest to his heart marveling at the feel of him terrified that this is a step too far,fear
i feel so pissed off that i can bite off a messing tree log,anger
i am feeling pretty shitty about it maybe i should tell him to kiss my ass,sadness
i are feeling horny and decide to give a double header long wet sloppy blowjob,love
i could understand if a survivor reading this might at first feel offended by my talking about abstract forms of rape,anger
i feel ugly right now im still happy,sadness
i mostly feel this as a cause of hateful memories of that girl who used to run the everchanging sailormoon gateway who i think is still making a name for herself by being stupid and mean,anger
i feel tortured by all this and im not quite sure how to handle it other then getting drunk non stop so as to not feel anything at all,fear
i feel so horny horny,love
i also stop reading fashion magazine because it makes me feel ugly and fat,sadness
i wonder if mind readers draw a blank when they get around stupid people and when stupid people leave a room does it feel like somebody smart just walked in,joy
ill start with the one about interlochen i see jonathan the boy who asked me out and was a freak and i used to like him until i realized how stupid he was and i sang a recording for him and i feel so regretful of the whole ordeal with him and yeah,sadness
i finally hopped up on my new friend and the feel of the dong was pleasant,joy
i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i dont think that i will ever find anyone as great as her in my life,fear
ive been feeling a bit shitty about myself these past few days and there has been a sudden drop of self esteem going on,sadness
i feel like i just want to be smart because i dont want to be seen as stupid,joy
i pray that they will continue to be giving confident happy god fearing and feel loved,love
i am feeling shamed like i should not be enjoying this and i certainly should not have sex kissing is so far enough,sadness
i say this because she never truly gets a choice or the freedom to decide what to do with her life which makes it hard not to feel like she got the less dirty end of a really shitty stick,sadness
i get the feeling that he is brewing up some kind of moronic shit storm,sadness
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger
i feel neglectful and while at her reception i grazed her arm as i walked by and she pulled me back and said where are you going youre way more imporant than those people but i was stoned and full of champagne and could only tell her she was beautiful and that he seemed nice,sadness
i pulled out and explained that i couldn t feel my penis or at least feel it with any more feeling than my aching back or throbbing balls or stinging nipples,sadness
i feel i am with ampatuan and joining the forces of hell bitchy human who only wants is to spread their worst odor in this world,anger
i feel so worthless and ugly a href http afaerytaleinmakebelieve,sadness
i feel horny and asked her to show her cam and she show me and asked her to show me her body and we do a great cyber sex that day,love
im feeling horny i go on to omegle and have sex chats cyber sex with guys,love
i blinded feelings i meant liked stupid i,love
i wake up in the morning and i have been having sexy dreams for i feel very horny and in need of a mess,love
i guess i do have to give some credit to the douche bags out there though because after all those feelings are what give birth to these lovely words i utter,love
i feel that i need some divine direction in order to move forward with the things that god has called me to do,joy
i feel like god has been gracious in answering prayers,joy
i could feel that the person was pissed at me because that person didnt understand what i was trying to say and so there was further personal attack again asking me whats my nationality giving me that shit face and blah blah,anger
i wake up every morning not knowing what the hell to do and feeling like crap with my stomach on fire and my bones aching and then i go to bed every night feeling the same thing,sadness
i personally feel that god is gentle and kind but i dont think he wants me to enter into a friendship with me,love
im going to force him to read dianne wayne jones which even i cant read and hell develop a complex with the realisation that hes just asking questions i cant answer because hes an insecure little berk who needs to feel superior to everyone around him,joy
im feeling damn fantastic,joy
i certainly do sound like some lowdown bitch who is just countering back what people have to say but whatever it is what exactly bothers me oh well bet that hit one of their aims is that i wonder why people feel so entertained exhilarated thrilled excited when they provoke the feelings of others,joy
i feel rushed again and its the lack of time jerry springer weather amp suddenly you want to put porn on i am very confused but hey let me do that while you enjoy that i had fun fun fun without your hun without a block so hype all about it,anger
i have to confess to feeling quite angry when i read some of the negative reviews of uses for boys some of which are basically victim blaming and slut shaming,anger
im listing some reference verses to look up and read to remind you when thoughts and feeling of rejection haunt you that you are a beloved child of god,love
i ended the episode feeling really pissed,anger
i feel distracted and its sometimes hard to talk to god and that used to be second nature to me,anger
i become aware that i m feeling impatient and thinking things are not going fast enough i can choose to change my thinking and remind myself that god s timing is perfect,anger
im feeling so devastated by losing something that others may see as trivial my god takes on that weight as if it was his own,sadness
i feel like i was abused raped defiled,sadness
on the way down a ski slope which was difficult and steep,fear
i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them,anger
i feel very apprehensive to adopt labels and to even identify myself as queer it seems that im still quite unclear on that subject and it keeps me feeling separate from the queer community like joel,fear
i feel that more people ought to use percolated as a synonym for horny,love
i need to feel confident about my stroke play and when i recently injured my wrist i found the x tremus the best for helping me recover yet still play,joy
im not trying to sound so depressed or sad or heartbroken but feeling all shitty once in a while is just human,sadness
i did something to my back after moving my piano this week im not hercules just terribly stupid so i was feeling a bit miserable for myself this morning and then this turned up in the post,sadness
i feel stupid img width height src http voicesfromkrypton,sadness
i enjoy not feeling horny not craving sex,love
i didnt feel anything more than casual thoughts like hes a jerk or wow shes psycho,joy
i was feeling extremely shitty physically this morning,sadness
i no longer had to walk through the alleys of the slowly gentrified ghettos of my city to find one artist with a muffin top who took nude photos to make me feel like my body was acceptable and sadly not unique,joy
i lie in bed or is it a coffin it feels more like a coffin not altogether unpleasant just very still i push my legs together and cross my hands i try not to cry i sink downwards hoping for a prick a poke a tube of fluid a needle of,sadness
i feel damn agitated during the speech,anger
i mean its a good level on its own terms but everything before it was so well thought out and executed that doing constant mirror puzzles and topping it off with a crap final boss battle made the last level feel rushed in comparison though the last boss is bad no matter what way you slice it,anger
i was so scared of feeling stupid or unintelligent or why i felt like i wasnt smart enough,sadness
i just wanted to apologize to you because i feel like a heartless bitch,anger
i feel like a whore and im ashamed of,sadness
i grabbed my shoes no socks too lazy and got on the car and the teacher greeted omg she is so nice i feel really bad,sadness
i feel ugly i look ugly,sadness
i keep waiting for some grand stroke of wisdom and peace to overcome me but all i feel is irritable and bewildered,anger
i were any sort of poet i am convinced i would be sucked in to the romantic literary style and simply write for days about the turning of the leaves the feeling of the cool wind with the warm sun,joy
i feel offended that youre offended way but in the oh crap there i go offending people again way,anger
i have had things happen and allowed things to happen to me that have made me feel ugly disgusting and unworthy of being loved or even feeling like i matter in this world,sadness
i love loving people and when i get the opportunity to really show how i feel i m going to do it no matter how stupid it sounds,sadness
i feel like a petty murder shoudlnt be punished nearly as heavily as human beings who are constantly shitty to other human beings,anger
i feel stupid typing that,sadness
i was wide awake and miserable at am still feeling like crap when i got a very pleasant surprise,joy
i just want to stop feeling so shitty i feel terrible and horrid and eurgh,sadness
i am feeling overwhelmed by god s grace,fear
